"id","geom","name","lat","long"
31648,"0101000020E6100000A10040048BAC52405C1723B7CB284240","Apple / cherry / apricot juice","36.3187169","74.6959849"
31647,"0101000020E610000007567A12FD4852404704E3E0D2C84040","Gourmet Bakers","33.5689355","73.1404463"
31646,"0101000020E61000002A543717FF4252402F7B2304F5CE4040","Metal truck art","33.6168523","73.0468195"
31645,"0101000020E6100000B5920CEFA84152406E1D77A5C0D04040",NULL,"33.6308791","73.0259359"
31644,"0101000020E6100000518946D249E85240408DD6AC8EA64140","Delicious local restaurant","35.3012291","75.6295057"
31643,"0101000020E6100000DEE929CDC146524098F331C456C24040","Throttle Inspiration Mehwish Ekhlaque","33.5182729","73.1055787"
31642,"0101000020E6100000E1B1440CE03E52408E0D38A682D94040","Step Inn","33.6992996","72.9824248"
31641,"0101000020E610000042E32E67DB965240AC6928FFA4853F40","Sarhad Restaurant","31.5220489","74.3571413"
31640,"0101000020E610000087CE215F78A552409323F83A04A84140","Koroy Tatam summit, 4205m high","35.3126291","74.5854719"
31639,"0101000020E61000003F47F5E7ECA4524009707A17EFAC4140","Reis Derbal hotel","35.3510465","74.5769596"
31638,"0101000020E6100000F4A9BE4EC52A514086B9933E63753940","Qubba Shaikh Lahandro","25.4585456","68.6682927"
31637,"0101000020E6100000B274F4AEB0345140E161DA37F7B53B40","Dost Tea","27.7108035","68.8232839"
31636,"0101000020E61000000F3C630479215140F7730AF2B36D3940","my restaurant","25.428527","68.5230113"
31635,"0101000020E6100000F1868FE3E2A15240A0AC736781204240","Viewpoint on Rakaposhi","36.2539491","74.5294732"
31634,"0101000020E61000009C84775E4FA35240A8A1B20694194240",NULL,"36.1998299","74.5517193"
31633,"0101000020E610000019181EA020DD5240607D97AD50B64140","SCO Guest Rooms","35.4243371","75.4551163"
31632,"0101000020E61000001B84B9DD4BE852404B6AB290CAA64140","Primary School Jaffri Muhallah","35.3030568","75.6296305"
31631,"0101000020E610000072778CE1A0E75240EC4FE27327A74140","Biocare Home Nursing","35.3058915","75.6191944"
31630,"0101000020E610000003DB77FB62E8524004E5B67D8FA64140","Muskan Shopping Mall","35.301254","75.6310414"
31629,"0101000020E61000002A5A14D10AE952406245B2ECEEA34140","SCO Software Technology Park","35.2807289","75.6412852"
31628,"0101000020E6100000470B2B708D495240ABC31BE3D4D14040","Post Office, Tarlai","33.6393093","73.1492577"
31627,"0101000020E61000001F27F15EDA4952401A9826B6CCD14040","Utility Store","33.6390598","73.1539533"
31626,"0101000020E610000052538149E04952402526039BCED14040","Baoo Jee Murgh Pulao & Restaurant Tarlai","33.6391176","73.1543144"
31625,"0101000020E6100000623722CEF9495240DA4AF95AE1D14040","Ch. Usman Plaza, Tarlai","33.6396898","73.1558719"
31624,"0101000020E6100000A70B0CB4164A5240007157AF22D24040","TKR Restaurant, Taramri","33.6416835","73.1576357"
31623,"0101000020E6100000FB9C71D0144A5240D9A72DBF1DD24040","Soneri Bank Taramri,","33.6415328","73.1575204"
31622,"0101000020E6100000466117450F4A5240E54C6E6F12D24040","Faysal Bank, Tarlai","33.6411876","73.157182"
31621,"0101000020E6100000B846BA55464A5240D5287F5248D24040","Meezan Bank, Taramri branch","33.6428321","73.1605429"
31620,"0101000020E6100000CA3505323B4A52404AFC40A841D24040","HBS Medical and Dental College, Taramri","33.6426287","73.159863"
31619,"0101000020E6100000375C9A11944A524049319B5B7CD24040","Save Mart, Taramri","33.6444201","73.1652874"
31618,"0101000020E6100000736E6EA7084A52409E1331DB04D24040","Allied Bank (ABL), Tarlai","33.6407732","73.1567782"
31617,"0101000020E610000081B4FF01564A5240B72CBA5054D24040","UBL Bank, Taramri Branch","33.6431981","73.1614995"
31616,"0101000020E61000006B22D85D454A5240115BD5ED47D24040","Cheezious Taramri","33.6428201","73.1604838"
31615,"0101000020E61000001F9E25C88894524003BFFC0406753F40",NULL,"31.4571231","74.3208485"
31614,"0101000020E6100000616EF7729F915240525B8F673C7E3F40","BBQ Story","31.4931092","74.275357"
31613,"0101000020E6100000C6EBB078A0935240613832EAB5823F40","Green View Hotel","31.5105883","74.3066694"
31612,"0101000020E610000015E3FC4D288D52400DC347C494164040","Allied Science Schools","32.176415","74.205585"
31611,"0101000020E6100000790778D242A8504087A9882E03D13B40","Hostel 7","27.8164548","66.6290785"
31610,"0101000020E6100000C5364EAF39A65040CE91F01879D03B40","Khuzdar Futsal Ground","27.8143478","66.5972708"
31609,"0101000020E6100000EF7618EE3743524012386D2123D94040","Advanced International Hospital G-8 Markaz","33.6963846","73.0502887"
31608,"0101000020E6100000B871304047A650408783296FECD03B40","Dawood Cold Drinks & Gift Center","27.8161077","66.5980988"
31607,"0101000020E610000008D451C458A65040605C058C89D03B40","ZEHRI HOUSE","27.8145988","66.5991679"
31606,"0101000020E610000001D41E40D0A5504015585B0C79D73B40","JATTAK FARMHOUSE","27.8416908","66.5908356"
31605,"0101000020E61000006F5C10DB27A65040F64B7ACECCD23B40","Zimistan The Restaurant","27.8234376","66.5961826"
31604,"0101000020E61000002B91FAA1085C524079D5B95807543F40",NULL,"31.3282371","73.4380269"
31603,"0101000020E6100000FB3BDBA3B734534004221F4F266C4140","Morol Homestay","34.8449191","76.8237085"
31602,"0101000020E610000059A89086AE3453403EE6A8482A6C4140","Ismail Homestay","34.8450404","76.8231522"
31601,"0101000020E6100000799A2732CE485240182D9B94DDCE4040","Prime Pharmacy","33.6161371","73.1375852"
31600,"0101000020E6100000D89FC4E7CE485240908653E6E6CE4040","Bank Alfalah","33.6164215","73.1376285"
31599,"0101000020E61000004A73D0CA622B4F40DCAB45FAA3363940",NULL,"25.2134396","62.3389524"
